Số phiếu,Ngày chứng từ(mm/dd/yyyy),Ngày xuất(mm/dd/yyyy),Mã FG,Đvt,Số lượng(Thùng),Số lượng(Pcs),Kho nhận,Địa chỉ,Mã AR
AR3064,08/19/2025,08/19/2025,FG1461,thùng,12,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1462,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1464,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1465,thùng,3,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1500,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1501,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1581,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1503,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1487,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1488,thùng,6,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1582,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1495,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG1496,thùng,5,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG8048,thùng,2,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG2136,thùng,9,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG3189,thùng,2,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG2201,thùng,2,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG2202,thùng,2,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG2203,thùng,2,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG7067,thùng,4,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG7105,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FG7107,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FGB0322,thùng,8,None,None,None,None
AR3064,08/19/2025,08/19/2025,FGB0032,thùng,24,None,None,None,None
AR3064,08/19/2025,08/19/2025,FGB0040,thùng,24,None,None,None,None
